iter	Passed	Remaining
0	0	73
1	1	66
2	1	61
3	2	58
4	2	56
5	3	55
6	4	54
7	4	56
8	5	55
9	6	54
10	6	53
11	7	52
12	7	51
13	8	50
14	8	49
15	9	48
16	9	47
17	10	47
18	10	46
19	11	45
20	11	45
21	12	44
22	13	43
23	13	43
24	14	42
25	14	41
26	15	41
27	15	40
28	16	39
29	16	39
30	17	38
31	17	38
32	18	37
33	19	37
34	19	36
35	20	36
36	20	35
37	21	35
38	22	34
39	22	34
40	23	33
41	23	33
42	24	32
43	24	31
44	25	31
45	26	30
46	26	30
47	27	29
48	28	29
49	28	28
50	29	28
51	29	27
52	30	27
53	31	26
54	31	25
55	32	25
56	33	24
57	33	24
58	34	23
59	35	23
60	35	22
61	36	22
62	37	21
63	37	21
64	38	20
65	38	20
66	39	19
67	40	18
68	40	18
69	41	17
70	42	17
71	42	16
72	43	15
73	43	15
74	44	14
75	45	14
76	45	13
77	46	13
78	46	12
79	47	11
80	48	11
81	48	10
82	49	10
83	49	9
84	50	8
85	51	8
86	51	7
87	52	7
88	53	6
89	53	5
90	54	5
91	54	4
92	55	4
93	56	3
94	56	2
95	57	2
96	58	1
97	58	1
98	59	0
99	60	0
